round,accuracy,loss,f1,precision,recall,auc,time_seconds
1,0.7339,0.5814,0.4233,0.3670,0.5000,0.6945,110.37
2,0.7339,0.5821,0.4233,0.3670,0.5000,0.8890,134.70
3,0.7339,0.5483,0.4233,0.3670,0.5000,0.9218,144.65
4,0.8521,0.4337,0.7766,0.8663,0.7427,0.9445,142.18
5,0.8300,0.3410,0.7307,0.8508,0.6989,0.9434,138.93
6,0.8838,0.3123,0.8500,0.8529,0.8472,0.9407,144.30
7,0.8559,0.3256,0.8331,0.8156,0.8742,0.9455,140.97
8,0.8626,0.2966,0.8399,0.8221,0.8788,0.9477,144.44
9,0.8838,0.2664,0.8601,0.8441,0.8851,0.9498,141.72
10,0.8463,0.3237,0.8253,0.8093,0.8757,0.9534,149.45
