round,accuracy,loss,f1,precision,recall,auc,time
1,0.7391,0.4763,0.4250,0.3695,0.5000,0.9109,29.88
2,0.8383,0.3779,0.8156,0.7999,0.8694,0.9179,29.29
3,0.8734,0.3092,0.8236,0.8548,0.8030,0.9380,28.83
4,0.8948,0.2605,0.8712,0.8551,0.8949,0.9516,28.79
5,0.9119,0.2232,0.8897,0.8780,0.9043,0.9597,28.65
