epoch,val_acc,val_loss,val_f1,val_precision,val_recall,val_auc,time
1,0.7810,0.4506,0.7604,0.7581,0.8306,0.9012,17.68
2,0.8691,0.3066,0.8426,0.8254,0.8722,0.9290,15.34
3,0.8896,0.3012,0.8657,0.8489,0.8914,0.9489,15.30
4,0.9136,0.2525,0.8849,0.8967,0.8747,0.9485,15.32
5,0.9059,0.2357,0.8628,0.9296,0.8271,0.9672,15.17
6,0.9196,0.1971,0.9008,0.8851,0.9223,0.9748,15.05
7,0.9410,0.1644,0.9251,0.9167,0.9346,0.9783,15.05
8,0.9401,0.1771,0.9178,0.9476,0.8959,0.9799,14.95
9,0.9555,0.1439,0.9405,0.9559,0.9275,0.9844,15.02
10,0.9538,0.1318,0.9385,0.9514,0.9274,0.9849,15.15
