round,accuracy,loss,f1,precision,recall,auc,time_seconds
1,0.7527,0.5735,0.4295,0.3764,0.5000,0.3510,183.93
2,0.7527,0.5665,0.4295,0.3764,0.5000,0.8252,180.79
3,0.7527,0.5587,0.4295,0.3764,0.5000,0.8138,203.12
4,0.7527,0.5610,0.4295,0.3764,0.5000,0.8753,198.26
5,0.7527,0.5575,0.4295,0.3764,0.5000,0.9129,197.66
6,0.7527,0.5572,0.4295,0.3764,0.5000,0.9246,205.12
7,0.7527,0.5535,0.4295,0.3764,0.5000,0.9216,269.64
8,0.7527,0.5496,0.4295,0.3764,0.5000,0.9258,280.95
9,0.7527,0.5421,0.4295,0.3764,0.5000,0.9237,259.09
10,0.7527,0.5316,0.4295,0.3764,0.5000,0.9228,242.57
11,0.7527,0.5172,0.4295,0.3764,0.5000,0.9232,255.51
12,0.7527,0.4899,0.4295,0.3764,0.5000,0.9143,237.32
13,0.7527,0.5255,0.4295,0.3764,0.5000,0.9095,264.87
14,0.7527,0.4817,0.4295,0.3764,0.5000,0.9175,269.45
15,0.7527,0.5434,0.4295,0.3764,0.5000,0.9087,276.25
16,0.7527,0.4646,0.4295,0.3764,0.5000,0.9149,280.01
17,0.7527,0.4205,0.4295,0.3764,0.5000,0.9159,266.56
18,0.7527,0.4502,0.4295,0.3764,0.5000,0.8916,250.33
19,0.7527,0.3873,0.4295,0.3764,0.5000,0.9237,224.21
20,0.7527,0.3871,0.4295,0.3764,0.5000,0.9009,221.68
21,0.7527,0.3868,0.4295,0.3764,0.5000,0.9115,190.65
22,0.7527,0.4243,0.4295,0.3764,0.5000,0.9224,206.98
23,0.7527,0.4011,0.4295,0.3764,0.5000,0.9034,246.02
24,0.8405,0.3487,0.7473,0.8243,0.7167,0.9225,211.71
25,0.8435,0.3604,0.7740,0.8003,0.7566,0.9122,211.50
26,0.8584,0.3454,0.7966,0.8225,0.7787,0.9223,204.11
27,0.8475,0.3320,0.7784,0.8081,0.7592,0.9184,215.69
28,0.8654,0.3206,0.8081,0.8312,0.7915,0.9282,227.42
29,0.8554,0.3243,0.7920,0.8183,0.7740,0.9214,277.16
30,0.8455,0.3252,0.7538,0.8370,0.7213,0.9300,194.82
31,0.8425,0.3293,0.7514,0.8266,0.7207,0.9266,174.58
32,0.8315,0.3314,0.7170,0.8342,0.6850,0.9317,191.37
33,0.8046,0.3459,0.6428,0.8139,0.6238,0.9270,200.73
34,0.7986,0.3440,0.6206,0.8170,0.6076,0.9327,183.28
35,0.7827,0.3581,0.5680,0.7968,0.5727,0.9256,193.03
36,0.7767,0.3391,0.5459,0.7879,0.5592,0.9341,186.77
37,0.7856,0.3439,0.5775,0.8036,0.5787,0.9290,196.61
38,0.7946,0.3299,0.6091,0.8102,0.5996,0.9331,186.13
39,0.8156,0.3300,0.6669,0.8405,0.6419,0.9361,190.38
40,0.8006,0.3437,0.6244,0.8249,0.6103,0.9325,180.04
41,0.8136,0.3329,0.6649,0.8303,0.6406,0.9338,166.77
42,0.8185,0.3272,0.6777,0.8366,0.6507,0.9356,224.72
43,0.8345,0.3163,0.7202,0.8455,0.6870,0.9376,188.41
44,0.8365,0.3176,0.7260,0.8449,0.6924,0.9368,187.03
45,0.8205,0.3299,0.6842,0.8356,0.6561,0.9379,190.92
46,0.8305,0.3219,0.7084,0.8470,0.6762,0.9403,190.99
47,0.8235,0.3284,0.6888,0.8460,0.6594,0.9398,189.46
48,0.8136,0.3378,0.6584,0.8467,0.6352,0.9433,190.69
49,0.8215,0.3302,0.6852,0.8402,0.6567,0.9367,188.96
50,0.8554,0.3015,0.7679,0.8618,0.7320,0.9444,184.17
