round,accuracy,loss,f1,precision,recall,auc,time_seconds
1,0.2864,6.5616,0.1113,0.0716,0.2500,0.2864,822.24
2,0.1376,100.8356,0.0605,0.0344,0.2500,0.1376,2806.91
