round,accuracy,loss,f1,precision,recall,auc,time_seconds
1,0.3298,1.2800,0.1997,0.1559,0.2994,0.7819,138.98
2,0.2855,3.2558,0.1110,0.0714,0.2500,0.5980,143.07
3,0.2855,4.1115,0.1110,0.0714,0.2500,0.6439,148.48
4,0.2855,4.0343,0.1110,0.0714,0.2500,0.7369,143.21
5,0.2855,3.5788,0.1110,0.0714,0.2500,0.7558,148.95
6,0.2855,4.1450,0.1110,0.0714,0.2500,0.7601,166.26
7,0.2862,3.7444,0.1127,0.3214,0.2508,0.7746,150.63
8,0.3340,3.4817,0.1922,0.1809,0.3029,0.7645,159.36
9,0.3583,3.1918,0.2162,0.1726,0.3299,0.7644,153.77
10,0.2962,3.6655,0.1343,0.1774,0.2616,0.7568,156.41
