algorithm,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auc_mean,auc_std,loss_mean,loss_std
FedNova,0.5586,0.0102,0.4629,0.3281,0.3634,0.2575,0.6374,0.4521,0.7723,0.0444,0.6821,0.0041
FedAvg,0.5892,0.0496,0.4132,0.3039,0.4502,0.3309,0.4620,0.4118,0.7674,0.0419,0.6820,0.0038
FedProx,0.5892,0.0496,0.4132,0.3039,0.4502,0.3309,0.4620,0.4118,0.7678,0.0421,0.6821,0.0038
