round,accuracy,loss,f1,precision,recall,auc,time_seconds
1,0.1745,83.1620,0.0330,0.0194,0.1111,0.5282,628.41
2,0.0716,111917070.7830,0.0148,0.0080,0.1111,0.5000,647.32
3,0.1745,851203.5038,0.0330,0.0194,0.1111,0.5000,646.12
4,0.0447,84944750.5861,0.0095,0.0050,0.1111,0.5000,631.62
5,0.1611,1641873.1560,0.0308,0.0179,0.1111,0.5000,667.78
