round,accuracy,loss,f1,precision,recall,auc,time_seconds
1,0.7582,0.5621,0.4312,0.3791,0.5000,0.8880,144.58
2,0.7582,0.3815,0.4312,0.3791,0.5000,0.8906,144.41
3,0.8618,0.3120,0.8242,0.8077,0.8494,0.9130,147.40
4,0.8839,0.2833,0.8524,0.8342,0.8802,0.9255,326.09
5,0.8964,0.2540,0.8663,0.8502,0.8884,0.9460,142.06
