algorithm,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auc_mean,auc_std,loss_mean,loss_std
SCAFFOLD,0.6680,0.0241,0.5938,0.2241,0.7141,0.0802,0.6312,0.3416,0.7578,0.0311,0.6323,0.0411
FedProx,0.6831,0.0268,0.5866,0.2219,0.7565,0.0479,0.5808,0.3364,0.8028,0.0196,0.6308,0.0362
FedNova,0.6797,0.0199,0.5692,0.2165,0.7942,0.0816,0.5494,0.3407,0.8029,0.0192,0.6291,0.0344
